SchoolID SchoolName FamilyofSchools Ward LOI2014Score LOI2014Rank LOI2011Score LOI2011Rank LOI2009Score LOI2009Rank
1037 "David Hornell Junior School" WR6 3 0.587058 216 0.55845 225 0.503096 249
1182 "J S Woodsworth Senior Public School" ER14 19 0.584561 217 0.568703 221 0.557997 221
20 "Ranchdale Public School" ER15 17 0.582929 218 0.544587 230 0.422753 234
1256 "White Haven Public School" ER19 21 0.578865 219 0.680822 164 0.66711 161
1006 "Crescent Town Elementary School" ER11 16 0.577125 220 0.8309 72 0.807142 91
1229 "Silver Springs Public School" ER18 20 0.576226 221 0.526644 240 0.602373 197
1258 "William G Miller Public School" ER13 22 0.57393 222 0.577344 215 0.615194 191
1047 "Highfield Junior School" WR1 1 0.571618 223 0.529764 238 0.586379 206
1280 "Brock Public School" WR7 9 0.567847 224 0.654365 175 0.678369 155
1193 "Lord Roberts Junior Public School" ER14 19 0.566826 225 0.54992 229 0.624384 185
184 "Kingslake Public School" ER18 17 0.564827 226 0.502225 254 0.422753 288
1081 "Smithfield Middle School" WR1 1 0.563903 227 0.525908 242 0.509222 244
63 "Cassandra Public School" ER15 17 0.558333 228 0.465475 267 0.429042 282
1053 "James S Bell Junior Middle Sports and Wellness Academy" WR6 3 0.553096 229 0.613546 195 0.544063 227
1054 "John D Parker Junior School" WR1 1 0.552874 230 0.524731 244 0.549772 226
1144 "Dr Marion Hilliard Senior Public School" ER20 21 0.552314 231 0.523354 245 0.55461 223
1024 "Victoria Park Elementary School" ER11 16 0.550687 232 0.584576 211 0.620302 189
1321 "Gledhill Junior Public School" ER11 16 0.550111 233 0.607447 199 0.584828 208
1198 "Malvern Junior Public School" ER20 21 0.540641 234 0.550851 228 0.541597 228
1348 "Kensington Community School" WR9 10 0.5397 235 0.619981 193 0.603349 196
1287 "Church Street Junior Public School" WR9 14 0.534519 236 0.604951 201 0.594483 202
1356 "Lord Lansdowne Junior and Senior Public School" WR9 10 0.533228 237 0.674692 166 0.642534 173
1195 "Lynngate Junior Public School" ER19 20 0.531467 238 0.428257 286 0.473228 260
1170 "Heritage Park Public School" ER20 21 0.526312 239 0.389089 307 0.413997 293
254 "Sloane Public School" ER15 17 0.52515 240 0.617628 194 0.50933 243
1176 "Inglewood Heights Junior Public School" ER19 20 0.524933 241 0.51768 247 0.585948 207
95 "Don Mills Middle School" ER15 17 0.520477 242 0.49792 257 0.428544 283
1416 "Wilkinson Junior Public School" WR10 15 0.511882 243 0.633319 186 0.610448 194
1342 "Jesse Ketchum Junior and Senior Public School" WR9 14 0.510426 244 0.586976 210 0.50643 245
1381 "Pape Avenue Junior Public School" WR10 15 0.509168 245 0.648552 180 0.733098 134
1173 "Highland Creek Public School" ER20 22 0.50619 246 0.505709 251 0.509557 242
1296 "Davisville Junior Public School" WR8 11 0.506155 247 0.573667 218 0.519689 238
1089 "Wellesworth Junior School" WR4 2 0.505715 248 0.416786 291 0.473152 261
38 "Broadlands Public School" ER15 17 0.503765 249 0.499949 256 0.448855 270
1030 "Bloorlea Middle School" WR6 3 0.503717 250 0.503081 253 0.475082 258
1111 "Birch Cliff Heights Public School" ER12 18 0.502049 251 0.493376 260 0.51048 241
138 "Glen Park Public School" WR3 8 0.494861 252 0.589928 208 0.567195 216
1218 "Poplar Road Junior Public School" ER13 22 0.492328 253 0.510518 250 0.512175 240
1185 "John G Diefenbaker Public School" ER20 22 0.490121 254 0.47945 263 0.466443 265
1039 "Eatonville Junior School" WR4 2 0.489704 255 0.588759 209 0.503357 248
201 "Muirhead Public School" ER18 17 0.487813 256 0.440963 280 0.450641 268
1078 "Seventh Street Junior School" WR6 3 0.487519 257 0.543699 231 0.470346 262
1158 "George P Mackie Junior Public School" ER13 18 0.487512 258 0.538044 233 0.602072 198
1108 "Bendale Junior Public School" ER14 19 0.481912 259 0.375829 319 0.376041 323
1306 "Earl Haig Public School" ER11 16 0.481129 260 0.526026 241 0.584157 209
235 "Rockford Public School" WR3 5 0.479038 261 0.460932 270 0.434645 278
1189 "Kennedy Public School" ER18 20 0.477733 262 0.48153 262 0.494936 252
1366 "Montrose Junior Public School" WR9 10 0.473197 263 0.459369 273 0.446181 272
1032 "Briarcrest Junior School" WR4 2 0.468089 264 0.361057 332 0.393865 306
1110 "Beverly Glen Junior Public School" ER18 20 0.467236 265 0.441582 278 0.423899 287
1224 "Rouge Valley Public School" ER13 22 0.46684 266 0.425812 288 0.505989 246
1196 "Lynnwood Heights Junior Public School" ER19 20 0.465684 267 0.529449 239 0.578005 211
1131 "Chief Dan George Public School" ER20 22 0.462253 268 0.237656 385 0.300361 356
1133 "Churchill Heights Public School" ER14 19 0.459951 269 0.383106 312 0.394309 305
1219 "Port Royal Public School" ER19 21 0.459257 270 0.415265 293 0.37621 322
1100 "Alexmuir Junior Public School" ER19 21 0.457473 271 0.427071 287 0.485004 256
1369 "Niagara Street Junior Public School" WR7 10 0.457018 272 0.503622 252 0.450427 269
122 "Finch Public School" ER17 12 0.456056 273 0.416325 292 0.412147 296
1172 "Highcastle Public School" ER20 22 0.455416 274 0.483834 261 0.411038 297
102 "Dublin Heights Elementary and Middle School" WR3 5 0.455116 275 0.329806 347 0.325107 347
1243 "Terraview-Willowfield Public School" ER15 20 0.454694 276 0.380413 317 0.237398 381
1033 "Broadacres Junior School" WR4 2 0.451712 277 0.412815 294 0.364712 328
230 "Pleasant Public School" ER17 12 0.448961 278 0.404597 298 0.384135 314
345 "Woodbine Junior High School" ER18 17 0.447135 279 0.459594 272 0.373019 326
3996 "ALPHA II Alternative School" WR7 9 0.447124 280 0.311155 356 0.283909 363
1241 "Tam O'Shanter Junior Public School" ER19 20 0.439692 281 0.405454 297 0.377611 321
1363 "McMurrich Junior Public School" WR8 11 0.433569 282 0.3618 331 0.387868 311
1231 "Sir Ernest MacMillan Senior Public School" ER18 20 0.432384 283 0.434504 284 0.437386 277
1042 "Étienne Brûlé Junior School" WR6 3 0.43195 284 0.441195 279 0.426424 285
233 "R J Lang Elementary and Middle School" ER17 12 0.431526 285 0.384774 310 0.379498 320
1178 "Iroquois Junior Public School" ER19 21 0.430325 286 0.383963 311 0.390736 310
1005 "Cosburn Middle School" WR10 15 0.42911 287 0.366873 326 0.325111 346
1213 "North Bridlewood Junior Public School" ER18 20 0.425877 288 0.363111 330 0.333775 341
1070 "Princess Margaret Junior School" WR4 2 0.423937 289 0.446128 277 0.315091 349
273 "Cherokee Public School" ER18 17 0.422071 290 0.395385 300 0.496299 251
266 "Three Valleys Public School" ER15 17 0.42021 291 0.305161 358 0.26861 368
1235 "Sir Samuel B Steele Junior Public School" ER18 20 0.420127 292 0.396179 299 0.415512 292
127 "Forest Manor Public School" ER15 17 0.419357 293 0.344144 338 0.356048 334
1446 "King George Junior Public School" WR6 7 0.41846 294 0.472084 265 0.42669 284
1029 "Bloordale Middle School" WR4 2 0.415611 295 0.368312 324 0.344575 338
1122 "C D Farquharson Junior Public School" ER19 21 0.415579 296 0.514353 248 0.566646 217
64 "Wilmington Elementary School" WR3 5 0.414032 297 0.455016 274 0.444242 274
1072 "Rivercrest Junior School" WR1 1 0.412263 298 0.438938 282 0.486886 254
1051 "Humberwood Downs Junior Middle Academy" WR1 1 0.411211 299 0.281093 368 0.278221 364
3999 "The Grove Community School" WR7 9 0.407125 300 0.446956 276 0.446956 276
1245 "Timberbank Junior Public School" ER19 20 0.400833 301 0.406113 296 0.409649 300
1377 "Orde Street Junior Public School" WR9 10 0.399281 302 0.461924 269 0.409662 299
1420 "Winona Drive Senior Public School" WR8 11 0.395007 303 0.382417 314 0.412386 295
1105 "Banting and Best Public School" ER19 21 0.393988 304 0.388796 308 0.44697 271
1055 "John English Junior Middle School" WR6 3 0.392209 305 0.422306 289 0.462167 267
1117 "Brimwood Boulevard Junior Public School" ER19 21 0.392136 306 0.338186 341 0.418792 290
1169 "Henry Kelsey Senior Public School" ER19 21 0.391656 307 0.372361 322 0.391669 309
314 "Don Valley Junior High School" ER18 17 0.391482 308 0.372044 323 0.36137 331
243 "Shaughnessy Public School" ER15 17 0.390124 309 0.355366 335 0.343373 339
1209 "Morrish Public School" ER20 22 0.389994 310 0.24766 381 0.196055 398
1181 "Jack Miner Senior Public School" ER13 22 0.384185 311 0.460819 271 0.496971 250
294 "Yorkview Public School" ER17 12 0.380269 312 0.394357 301 0.373225 325
1197 "Macklin Public School" ER19 21 0.37726 313 0.378441 318 0.416788 291
1211 "North Agincourt Junior Public School" ER19 21 0.377231 314 0.322233 349 0.380338 318
1112 "Birch Cliff Public School" ER12 18 0.373668 315 0.449038 275 0.360831 332
1230 "Sir Alexander Mackenzie Senior Public School" ER19 21 0.372334 316 0.391002 304 0.413551 294
1096 "Agincourt Junior Public School" ER19 21 0.36703 317 0.381787 315 0.398167 303
1216 "Percy Williams Junior Public School" ER19 21 0.364119 318 0.36624 327 0.385281 313
1201 "Mary Shadd Public School" ER20 21 0.359499 319 0.273699 372 0.339024 340
1104 "Anson S Taylor Junior Public School" ER19 21 0.35791 320 0.322223 350 0.37427 324
1271 "Beaches Alternative Junior School" ER11 16 0.356206 321 0.26171 377 0.225675 387
1410 "The Waterfront School" WR7 10 0.356023 322 0.372734 321 0.286059 362
